title,authors
Proto-Object Based Saliency Model with Second-Order Texture Feature,"Uejima, Niebur, and Etienne-Cummings. 2018. BioCAS."
Automated Tracking System for Identification of Tagged Mice for Automatic Social Behavior Analysis,"Marcuccio, Savonenko, and Etienne-Cummings. 2018. BioCAS."
Computational stereo-vision model of proto-object based saliency in three-dimensional space,"Mancinelli, Niebur, and Etienne-Cummings. 2018. BioCAS."
The Challenges of Designing an Inductively Coupled Power Link for μm-sized On-Chip Coils,Khalifa et al. 2018. BioCAS.
Large-Scale Neuromorphic Spiking Array Processors: A Quest to Mimic the Brain,Thakur et al. 2018. Frontiers in Neuroscience.
A Model-Based Systems Engineering Approach to Trade Space Exploration of Implanted Wireless Biotelemetry Communication Systems,Duncan and Etienne-Cummings. 2018. IEEE Systems Journal.
Using Deep Learning to Extract Scenery Information in Real Time Spatiotemporal Compressed Sensing,Wang et al. 2018. ISCAS.
An Unsupervised Compressed Sensing Algorithm for Multi-Channel Neural Recording and Spike Sorting,Xiong et al. 2018. IEEE Transactions on Neural Systems and Rehabilitation Engineering.
An analogue neuromorphic Co-processor that utilizes device mismatch for learning applications,Thakur et al. 2018. IEEE Transactions on Circuits and Systems I: Regular Papers.
The Microbead: A Highly Miniaturized Wirelessly Powered Implantable Neural Stimulating System,Khalifa et al. 2018. IEEE Transactions on Biomedical Circuits and Systems.
Compressed Sensing for High Density Neural Recording,Zhang et al. 2017. CMOS Circuits for Biological Sensing and Processing.
Spatiotemporal compressed sensing for video compression,Xiong et al. 2017.
Live demonstration: A compact all-CMOS spatiotemporal compressed sensing video camera,Xiong et al. 2017. ISCAS.
Neuromorphic visual saliency implementation using stochastic computation,Thakur et al. 2017. ISCAS.
"Low-power, low-mismatch, highly-dense array of VLSI Mihalas-Niebur neurons",Molin et al. 2017. ISCAS.
"Live demonstration: Real-time, dynamic visual saliency computation in a VR environment seeing through the eyes of a mobile robot",Molin et al. 2017. ISCAS.
"Live demonstration: FPGA neural array emulation for real-time, event-based simultaneous dewarping and filtering for aerial vehicles","Molin, Rattray, and Etienne-Cummings. 2017. ISCAS."
Live demonstration: Event-based image processing on CMOS Mihalas-Niebur neuron array transceiver,"Molin, Eisape, and Etienne-Cummings. 2017. ISCAS."
Iontophoresis instrumentation for the enhancement of gene therapy in wound healing,Leistner et al. 2017. ISCAS.
Live demonstration: A wirelessly powered highly miniaturized neural stimulator,Khalifa et al. 2017. ISCAS.
In-vivo tests of an inductively powered miniaturized neural stimulator,Khalifa et al. 2017. ISCAS.
A model based approach for realizing a safe wireless biotelemetry system,Duncan and Etienne-Cummings. 2017. ISCAS.
Novel integration and packaging concepts of highly miniaturized inductively powered neural implants,Khalifa et al. 2017. EMBC.
Automatic detection of electrocardiographic arrhythmias by parallel continuous neural networks implemented in FPGA,"Alfaro-Ponce, Chairez, and Etienne-Cummings. 2017. Neural Computing and Applications."
Active phantoms: a paradigm for ultrasound calibration using phantom feedback,Cheng et al. 2017. Journal of Medical Imaging.
Coil array design for maximizing wireless power transfer to sub-mm sized implantable devices,Karimi et al. 2017.
Real-time image segmentation using a spiking neuromorphic processor,"Thakur, Molin, and Etienne-Cummings. 2017. CISS."
